,0,1,2
141,1.4696249,1.2569028,1.0104811
142,1.064156,0.9779695,0.30033398
143,1.0167788,0.77769315,0.07244784
144,1.2337646,0.97724926,0.5089079
145,1.0352637,0.9351066,-0.08672068
146,1.0009066,0.7306971,-0.32956588
147,1.1247088,0.8526151,0.4122521
148,1.4855256,1.3583102,1.7877258
149,0.80235285,0.5506602,-0.43388137
150,1.447077,1.3348143,1.5563418
151,1.2733122,1.0098976,0.053711485
152,1.0448284,0.95868456,0.9511534
153,1.2053083,0.94840145,-0.036233883
154,0.9966785,0.60850805,-0.3864256
155,1.4497428,1.4161615,1.9453225
156,1.0496634,0.6741357,-0.12559398
157,1.0550282,1.0736996,-0.048182584
158,0.9400066,0.48764184,-0.2777448
159,0.804266,0.51377624,-0.19984482
160,1.0247389,0.64554524,0.066251285
161,1.1085533,0.85516906,-0.026819034
162,1.0096232,0.6537346,-0.31192365
163,0.93008614,0.75834376,0.08649231
164,0.8936478,0.53256035,-0.3962405
165,1.4127815,1.5265523,1.8166795
166,1.0132601,0.9297551,-0.13100769
167,1.1721078,1.079934,0.7425848
168,0.8861097,0.6182454,-0.37967807
169,1.1659478,0.9471662,0.16160154
170,1.2237592,0.919214,0.78745145
171,0.99087113,0.6444142,-0.22132197
172,1.1767731,0.82961756,0.44916528
173,0.8876697,0.5748706,-0.17144413
174,1.0918024,0.7779038,-0.15886511
175,0.99428934,0.82965726,0.104651354
176,1.2121423,0.959032,1.4833087
177,0.993302,0.67888016,-0.12720339
178,1.1277055,1.0106782,0.8541256
179,1.0083587,0.82022536,-0.21436101
180,1.3977779,1.4381186,1.744199
181,1.1096749,0.595083,-0.18032302
182,0.94190824,0.57162416,-0.21954913
183,0.82761323,0.56473154,-0.09012689
184,1.1743412,0.6992689,-0.3217493
185,1.1190327,0.60222185,-0.0376741
186,1.2141762,1.0525613,0.23458053
187,1.2364075,1.1817697,0.8074593
188,0.9276211,0.69325745,-0.322257
189,1.4008839,1.3539989,1.7787958
190,1.3022368,1.1214089,1.3000352
191,0.85542154,0.47799033,-0.17574312
192,1.2099433,1.0457541,1.0683154
193,1.057051,0.69427353,-0.036353286
194,1.0509712,0.6108063,-0.25798437
195,1.3766822,1.4094708,1.7562891
196,1.4009944,1.2533966,1.3064476
197,0.92134833,0.75407684,-0.16451861
198,1.010323,0.6908718,-0.11547051
199,1.0694548,0.814072,-0.22880359
200,1.5228268,1.4272759,1.7111672
201,1.3958887,1.3968279,1.3233268
202,1.0955372,0.99685675,0.33754918
203,1.0786725,1.0349978,0.5568249
204,1.2501012,0.96277815,0.42711723
205,1.0427964,0.626079,-0.1254586
206,1.335333,1.2623088,1.5911604
207,1.312823,1.0014294,-0.104773544
208,0.841632,0.5157654,-0.16452369
209,1.0265652,0.94346976,0.6007045
210,0.8682918,0.6400045,-0.22844982
211,1.2659372,1.0298827,0.008383207
212,1.1575395,0.91665965,0.6685584
213,1.3909543,1.3413534,0.29391152
214,0.9837104,0.5630106,-0.25842848
215,1.3259593,0.9650944,1.2094257
216,1.1761864,1.0450988,0.23889841
217,1.03697,0.8118058,0.2941779
218,1.2371414,0.8404781,0.07537507
219,1.1155498,0.95825607,0.34270787
220,1.2154778,1.0338659,1.0052317
221,1.0449765,0.6675576,-0.25430492
222,1.0851134,0.94104064,0.3385534
223,1.5138607,1.4358557,0.94792455
224,1.2088151,0.9779365,0.9660756
225,0.9021117,0.62116235,-0.24592511
226,1.3638443,1.2705091,1.6107159
227,1.1121888,0.87320817,1.309641
228,0.9229051,0.5898615,-0.17033422
229,1.2319275,1.0564252,1.2442029
230,1.1964531,1.0488459,1.1448464
231,1.3198106,1.4678857,1.47631
232,1.0411035,0.77906686,-0.1293578
233,1.3217098,1.2872661,1.3963377
234,0.876973,0.63444984,-0.1685689
235,1.5046377,1.5744157,1.6250501
236,1.045116,0.80745363,0.72179085
237,1.0906684,0.8827752,-0.25590396
238,1.2415,0.8141787,0.8875628
239,0.9621345,0.64374274,-0.3454406
240,0.95505965,0.75592345,-0.23148486
241,1.3806018,1.5215547,2.1318276
242,1.0754734,0.7866333,-0.089804485
243,1.1266795,0.8621842,0.04732234
244,1.2373582,1.0053518,-0.047519084
245,1.5587307,1.3567791,0.7241847
246,1.131846,0.745875,0.4938109
247,0.84935826,0.43456295,-0.26061305
248,1.1061245,0.8682692,0.4557008
249,1.2632239,1.0984908,0.06510362
250,1.3111383,0.79138684,-0.33547541
251,1.0626062,0.65171057,0.24731699
252,1.0660648,0.69555634,-0.16259012
253,0.97583413,0.7774247,0.105081275
254,1.1847479,0.9839282,0.024820333
255,1.1888175,1.0676535,1.016301
256,1.1857325,0.79695857,-0.13513356
257,1.1998535,1.1727945,1.2200943
258,1.110685,0.8982984,0.08625018
